명칭	기본 구조	설명
데이터 불러오기 및 저장		
read_csv()	pd.read_csv('file.csv')	CSV 파일을 읽어와 DataFrame으로 변환합니다.
to_csv()	df.to_csv('file.csv')	DataFrame을 CSV 파일로 저장합니다.
read_excel()	pd.read_excel('file.xlsx')	엑셀 파일을 읽어옵니다.
데이터 확인 및 탐색		
head() / tail()	df.head(n)	상위(또는 하위) n개의 행을 보여줍니다. (기본 5개)
info()	df.info()	전체 행 개수, 컬럼명, 데이터 타입, 결측치 여부를 요약합니다.
describe()	df.describe()	수치형 데이터의 평균, 표준편차, 사분위수 등 기초 통계량을 보여줍니다.
shape	df.shape	(행, 열)의 크기를 튜플 형태로 반환합니다. (속성)
unique()	df['col'].unique()	특정 열의 중복을 제거한 고유값들을 보여줍니다.
value_counts()	df['col'].value_counts()	고유값들의 빈도수(개수)를 계산합니다.
columns	df.columns	데이터프레임의 모든 컬럼명을 확인합니다.
데이터 필터링 및 정렬		
loc	df.loc[행_이름, 열_이름]	이름(레이블)을 기준으로 데이터를 추출합니다.
iloc	df.iloc[행_번호, 열_번호]	정수 인덱스(순서)를 기준으로 데이터를 추출합니다.
sort_value	df.sort_value()	특정 컬럼을 기준으로 데이터를 정렬합니다.
drop()	df.drop(['col'], axis=1)	특정 행이나 열을 삭제합니다.
query()	df.query('age > 25')	조건식을 문자열로 입력하여 데이터를 필터링합니다.
rename	df.rename()	컬럼명을 변경합니다.
결측치 및 중복처리		
isnull() / isna()	df.isnull()	데이터가 비어있는지(NaN) 여부를 True/False로 표시합니다.
fillna()	df.fillna(value)	비어있는 값(NaN)을 특정 값으로 채웁니다.
dropna()	df.dropna()	비어있는 값이 포함된 행이나 열을 삭제합니다.
duplicated()	df.duplicated()	중복 데이터를 확인합니다.
drop.duplicated()	df.drop_duplicates()	중복 데이터를 제거합니다.
apply()	df.apply(function)	사용자 정의 함수를 행 또는 열 전체에 일괄 적용합니다.
astype()	df['col'].astype('int')	컬럼의 데이터 타입을 변경합니다.
데이터 집계 및 병합		
groupby()	df.groupby('col').mean()	특정 컬럼을 기준으로 데이터를 그룹화하여 통계를 냅니다.
pivot_table()	df.pivot_table(...)	엑셀의 피벗 테이블과 같은 요약 테이블을 만듭니다.
merge()	pd.merge(df1, df2)	공통된 컬럼을 기준으로 두 데이터프레임을 합칩니다. (SQL의 Join)
concat()	pd.concat([df1, df2])	데이터를 단순히 위아래나 좌우로 이어 붙입니다.
데이터시각화		
Matplotlib	plt.plot()	선 그래프 (추세 확인)
	plt.bar() / plt.barh()	막대 그래프 (항목 간 비교)
	plt.scatter()	산점도 (두 변수 간 상관관계)
	plt.hist()	히스토그램 (분포 확인)
	plt.pie()	파이 차트 (비중 확인)
Seaborn	sns.lineplot()	강화된 선 그래프
	sns.barplot()	오차 막대가 포함된 막대 그래프
	sns.heatmap()	데이터 간 상관계수 등을 색상으로 표현
	sns.boxplot()	사분위수를 이용한 이상치 및 분포 확인
주요 함수		
print()	print(value, ...)	데이터를 화면에 출력합니다.
input()	input("메시지")	사용자로부터 문자열 입력을 받습니다.
len()	len(iterable)	리스트, 문자열 등 자료형의 길이를 반환합니다.
type()	type(object)	객체의 데이터 타입을 확인합니다.
int() / str()	int(value) / str(value)	데이터를 정수형 또는 문자열로 형변환합니다.
append()	list.append(x)	리스트의 맨 마지막에 요소 x를 추가합니다.
insert()	list.insert(i, x)	리스트의 i번째 인덱스에 요소 x를 삽입합니다.
pop()	list.pop([i])	i번째 요소를 삭제하고 그 값을 반환합니다. (미지정 시 마지막 요소)
remove()	list.remove(x)	리스트에서 첫 번째로 나오는 값 x를 삭제합니다.
sort()	list.sort()	리스트의 요소를 오름차순으로 정렬합니다.
reverse()	list.reverse()	리스트의 요소 순서를 거꾸로 뒤집습니다.
upper() / lower()	str.upper() / str.lower()	문자열을 대문자/소문자로 변환합니다.
strip()	str.strip()	문자열 양 끝의 공백을 제거합니다.
replace()	str.replace(old, new)	문자열 내의 특정 문자를 다른 문자로 바꿉니다.
split()	str.split(sep)	구분자(sep)를 기준으로 문자열을 나누어 리스트로 만듭니다.
join()	sep'.join(list)	리스트의 요소들을 특정 구분자로 연결하여 문자열로 만듭니다.
keys() / values()	dict.keys() / dict.values()	딕셔너리의 키(Key) 목록 또는 값(Value) 목록을 가져옵니다.
items()	dict.items()	딕셔너리의 키-값 쌍을 튜플 형태로 가져옵니다.
get()	dict.get(key)	키에 해당하는 값을 가져옵니다. (키가 없어도 에러 대신 None 반환)
range()	range(start, stop, step)	반복문(for)에서 숫자 시퀀스를 생성할 때 필수적으로 사용됩니다.
enumerate()	enumerate(iterable)	반복문에서 인덱스 번호와 요소의 값을 동시에 가져옵니다.
zip()	zip(*iterables)	여러 개의 리스트 등을 병렬로 묶어서 요소를 하나씩 추출합니다.
map()	map(function, iterable)	리스트의 모든 요소에 특정 함수를 일괄 적용합니다.
filter()	filter(function, iterable)	조건에 맞는 요소만 골라낼 때 사용합니다.
sorted()	sorted(iterable)	원본은 유지하면서 정렬된 새로운 리스트를 반환합니다. (sort와 차이점)
sum() / max() / min()	sum(list) / max(list) ...	리스트 내 요소의 합계, 최댓값, 최솟값을 즉시 계산합니다.
set()	set(iterable)	중복을 제거하고 고유한 값만 남길 때 유용합니다. (집합 자료형)
f-string	f"{variable}"	(메서드는 아니지만) 문자열 안에 변수를 가장 직관적으로 넣는 최신 방식입니다.